esc,river,year,area,exp
NA,MATSIU CREEK,1956,12,0.549968081128436
1e+05,KEOGH RIVER,1956,12,0.549968081128436
NA,ATNARKO SPAWNING CHANNEL,1956,8,46.00%
7500,NECLEETSCONNAY RIVER,1956,8,46.00%
NA,MCALISTER CREEK,1956,12,0.549968081128436
400,CANYON CREEK,1956,7,68.00%
3500,CHAMISS CREEK,1956,7,68.00%
NA,ROBINSON CREEKS,1956,7,68.00%
NA,ELLERSLIE LAGOON CREEK,1956,7,68.00%
3500,ROSCOE CREEK,1956,7,68.00%
NA,HAUSER CREEK,1956,7,68.00%
75,WINDY BAY CREEK,1956,7,68.00%
NA,KENNETH RIVER,1956,12,0.549968081128436
NA,GRASSY BAY CREEK,1956,8,46.00%
1500,CASCADE RIVER,1956,8,46.00%
NA,COLD CREEK,1956,8,46.00%
15000,COOPER INLET CREEKS,1956,7,68.00%
NA,STEELHEAD CREEK,1956,8,46.00%
NA,YOUNG RIVER,1956,9,42.00%
NA,WAHKASH CREEK,1956,12,0.549968081128436
NA,SANDELL RIVER,1956,9,42.00%
35000,SALMON BAY CREEK,1956,7,68.00%
3500,QUARTCHA CREEK,1956,7,68.00%
NA,WATT CREEK,1956,7,68.00%
750,POISON COVE CREEK,1956,7,68.00%
750,GOAT BUSHU CREEK,1956,7,68.00%
200,"NAMU RIVER",1956,8,46.00%
NA,WINDFALL CREEK,1956,7,68.00%
NA,HOCHSTADER BASIN CREEKS (2),1956,7,68.00%
25,NEW VANCOUVER CREEK,1956,12,0.549968081128436
NA,FOUR LAKES CREEK,1956,8,46.00%
1500,SAGAR CREEK,1956,8,46.00%
7500,KOKISH RIVER,1956,12,0.549968081128436
NA,TSULTON RIVER,1956,12,0.549968081128436
NA,LOCKHART GORDON CREEK,1956,9,42.00%
15000,VINER SOUND CREEK,1956,12,0.549968081128436
NA,RETURN CHANNEL CREEKS,1956,7,68.00%
1500,WEBSTER LAKE CREEK,1956,7,68.00%
NA,DORIS CREEK,1956,9,42.00%
7500,DEAN RIVER,1956,8,46.00%
NA,PENO CREEK,1956,7,68.00%
NA,DRANEY CREEK,1956,9,42.00%
200,GENESEE CREEK,1956,9,42.00%
35000,AHTA RIVER,1956,12,0.549968081128436
NA,HOGAN CREEK,1956,9,42.00%
NA,ATNARKO RIVER,1956,8,46.00%
35000,KWATNA RIVER,1956,8,46.00%
1500,CARTER RIVER,1956,7,68.00%
3500,AHTA VALLEY CREEK,1956,12,0.549968081128436
75000,NEEKAS CREEK,1956,7,68.00%
750,KWALATE CREEK,1956,12,0.549968081128436
15000,HOEYA SOUND CREEK,1956,12,0.549968081128436
NA,HYCUND CREEK,1956,12,0.549968081128436
750,NOEICK RIVER,1956,8,46.00%
1500,TSULQUATE RIVER,1956,12,0.549968081128436
35000,SHUSHARTIE RIVER,1956,12,0.549968081128436
NA,BIG BAY CREEK,1956,7,68.00%
0,LARD CREEK,1956,7,68.00%
NA,BEAVER CREEK,1956,9,42.00%
25,WALKER LAKE CREEK,1956,7,68.00%
NA,CHOKE PASS CREEKS (3),1956,7,68.00%
NA,PERRY CREEK,1956,9,42.00%
NA,CLYAK RIVER,1956,9,42.00%
0,NIGGER CREEK,1956,12,0.549968081128436
NA,CREASY BAY RIVER,1956,12,0.549968081128436
NA,SALLIE CREEK,1956,12,0.549968081128436
75000,GLENDALE CREEK,1956,12,0.549968081128436
NA,HAUSKIN CREEK,1956,12,0.549968081128436
NA,TUNA RIVER,1956,12,0.549968081128436
1500,FULMORE RIVER,1956,12,0.549968081128436
1500,KITASU CREEK,1956,7,68.00%
NA,QUATSESE RIVER,1956,12,0.549968081128436
15000,ADAM RIVER,1956,12,0.549968081128436
3500,NIMPKISH RIVER,1956,12,0.549968081128436
7500,KIMSQUIT RIVER,1956,8,46.00%
NA,ICY RIVER,1956,12,0.549968081128436
NA,GREEN RIVER,1956,8,46.00%
750,KAMANO BAY CREEK,1956,12,0.549968081128436
NA,TANCRED CREEK,1956,12,0.549968081128436
NA,WALDEN CREEK II,1956,12,0.549968081128436
NA,RAINBOW CREEK,1956,7,68.00%
75000,KOEYE RIVER,1956,8,46.00%
NA,NIEL CREEK,1956,9,42.00%
400,GEISH CREEK,1956,7,68.00%
NA,KILPALA RIVER,1956,12,0.549968081128436
3500,KADJUSDIS RIVER,1956,7,68.00%
NA,BUGHOUSE CREEK,1956,12,0.549968081128436
1500,HIRD POINT CREEK,1956,7,68.00%
750,BOTTLENECK CREEK,1956,7,68.00%
NA,RESCUE BAY CREEKS,1956,7,68.00%
NA,OATSOALIS CREEK,1956,9,42.00%
3500,PINE RIVER,1956,7,68.00%
NA,DALLERY CREEK,1956,9,42.00%
200,KORICH CREEK,1956,7,68.00%
NA,NEKITE SPAWNING CHANNEL,1956,10,32.00%
NA,SNOOTLI CREEK,1956,8,46.00%
35000,NEKITE RIVER,1956,10,32.00%
NA,CARRIDEN CREEK,1956,12,0.549968081128436
0,LILIAN CREEK,1956,7,68.00%
3500,WAKEMAN RIVER,1956,12,0.549968081128436
35000,QUATSE RIVER,1956,12,0.549968081128436
750,MILLS CREEK,1956,12,0.549968081128436
NA,EVE RIVER,1956,12,0.549968081128436
0,MACKENZIE RIVER,1956,12,0.549968081128436
NA,MCLOUGHLIN CREEK,1956,7,68.00%
NA,CRAB HARBOUR CREEK,1956,8,46.00%
NA,MACHMELL RIVER,1956,9,42.00%
NA,CANOE CREEK,1956,10,32.00%
NA,SOUND POINT LAGOON CREEK,1956,7,68.00%
NA,MACNAIR CREEK,1956,9,42.00%
15000,JAMES BAY CREEK,1956,7,68.00%
NA,GARBAGE DUMP CREEK,1956,8,46.00%
15000,"NAHWITTI RIVER",1956,12,0.549968081128436
NA,"NAYSASH CREEK",1956,10,32.00%
NA,NIEUMIAMUS CREEK,1956,8,46.00%
7500,STRANDBY RIVER,1956,12,0.549968081128436
750,ASSEEK RIVER,1956,8,46.00%
35000,ELCHO CREEK,1956,8,46.00%
7500,CLUXEWE RIVER,1956,12,0.549968081128436
3500,DUTHIE CREEK,1956,7,68.00%
NA,SKIMLETS CREEK,1956,8,46.00%
NA,TASTSQUAN CREEK,1956,8,46.00%
NA,HAGENSBORG SLOUGH,1956,8,46.00%
NA,TZEO RIVER,1956,9,42.00%
7500,CHUCKWALLA RIVER,1956,9,42.00%
0,SMOKEHOUSE CREEK,1956,10,32.00%
NA,NEECHANZ RIVER,1956,9,42.00%
750,SIM RIVER,1956,12,0.549968081128436
NA,BOND RIVER NO. 1,1956,12,0.549968081128436
NA,BULLOCK CHANNEL #2 CREEK,1956,7,68.00%
NA,MAPLE CREEK,1956,12,0.549968081128436
NA,HYDE CREEK,1956,12,0.549968081128436
NA,THIRD CREEK,1956,8,46.00%
NA,KWAKIUTL CREEK,1956,7,68.00%
NA,WALKER ISLAND CREEK,1956,8,46.00%
25,WALKUM CREEK,1956,10,32.00%
NA,AIRPORT SIDE CHANNEL,1956,8,46.00%
NA,MARGARET CREEK,1956,10,32.00%
NA,CHIC CHIC CREEK,1956,10,32.00%
7500,KILBELLA RIVER,1956,9,42.00%
NA,BULLOCK CHANNEL #3 NORTH CREEK,1956,7,68.00%
35000,KAKWEIKEN RIVER,1956,12,0.549968081128436
NA,FANNIE COVE LEFT HAND CREEK,1956,7,68.00%
0,SALLY CREEK,1956,7,68.00%
0,SHOAL HARBOUR CREEK,1956,12,0.549968081128436
7500,"NAMELESS CREEK",1956,7,68.00%
35000,KAINET CREEK,1956,7,68.00%
35000,JOHNSTON CREEK,1956,9,42.00%
NA,OWIKENO LAKE,1956,9,42.00%
NA,HAGEN CREEK,1956,10,32.00%
200,LEE CREEK,1956,7,68.00%
450000,BELLA COOLA RIVER,1956,8,46.00%
750,SONGHEES CREEK,1956,12,0.549968081128436
NA,POTTS LAGOON CREEK,1956,12,0.549968081128436
3500,LULL CREEK,1956,12,0.549968081128436
NA,DREW CREEK,1956,7,68.00%
NA,DSULISH CREEK,1956,10,32.00%
NA,KILDIDT LAGOON #2 CREEK,1956,7,68.00%
35000,CLATSE CREEK,1956,7,68.00%
NA,CHARLES CREEK,1956,12,0.549968081128436
3500,TANKEEAH RIVER,1956,7,68.00%
NA,BOSS CREEK,1956,10,32.00%
NA,ROBERT ARM CREEK,1956,9,42.00%
NA,SPILLER LAGOON CREEK,1956,7,68.00%
NA,WAHKANA BAY CREEK,1956,12,0.549968081128436
75000,JENNY BAY CREEKS,1956,8,46.00%
NA,DEER PASS LAGOON CREEKS,1956,7,68.00%
NA,CUTTER COVE CREEK,1956,12,0.549968081128436
NA,WAHGILAH CREEK,1956,7,68.00%
3500,BEALE'S LAGOON CREEK,1956,7,68.00%
3500,KLINAKLINI RIVER,1956,12,0.549968081128436
NA,KILDIDT CREEK,1956,7,68.00%
NA,ALLARD CREEK,1956,9,42.00%
3500,NOOSESECK RIVER,1956,8,46.00%
NA,REAK CREEK,1956,7,68.00%
0,JENNIS BAY CREEK,1956,12,0.549968081128436
400,TALEOMEY RIVER,1956,8,46.00%
NA,PORT HARVEY LAGOON CREEKS,1956,12,0.549968081128436
15000,KUNSOOT RIVER,1956,7,68.00%
200,KISAMEET RIVER,1956,8,46.00%
200,MARTIN RIVER,1956,8,46.00%
7500,SKOWQUILTZ RIVER,1956,8,46.00%
NA,BIG CREEK,1956,7,68.00%
NA,MILTON RIVER,1956,9,42.00%
NA,SUTHERLAND RIVER,1956,12,0.549968081128436
75,CAMP CREEK,1956,8,46.00%
NA,THORWALD CREEK,1956,8,46.00%
NA,CORTINA CREEK,1956,12,0.549968081128436
NA,TAKUSH RIVER,1956,10,32.00%
NA,KLEMTU CREEK,1956,7,68.00%
3500,MUSSEL RIVER,1956,7,68.00%
NA,STEWART CREEK,1956,7,68.00%
NA,INZIANA RIVER,1956,9,42.00%
NA,WANNOCK RIVER,1956,9,42.00%
NA,BOSWELL CREEK,1956,10,32.00%
NA,SPILLER INLET CREEK,1956,7,68.00%
NA,BULLOCK CHANNEL #3 SOUTH CREEK,1956,7,68.00%
NA,JENNY BAY WEST CREEK,1956,8,46.00%
NA,ADA COVE CREEK,1956,7,68.00%
1500,NICKNAQUEET RIVER,1956,9,42.00%
3500,BOLIN BAY CREEK,1956,7,68.00%
25,PROTECTION POINT CREEK,1956,12,0.549968081128436
NA,CORDUROY CREEK,1956,10,32.00%
NA,TUNO CREEK,1956,7,68.00%
NA,BRADLEY CREEK,1956,12,0.549968081128436
NA,SHIP POINT CREEK,1956,7,68.00%
21650,HOOK NOSE CREEK,1956,8,46.00%
35000,NOOTUM RIVER,1956,8,46.00%
NA,WALDON CREEK,1956,12,0.549968081128436
NA,ASHLULM CREEK,1956,9,42.00%
NA,SHOAL CREEK,1956,12,0.549968081128436
NA,EMILY CREEK,1956,7,68.00%
NA,"NASCALL CREEK",1956,8,46.00%
75,GILFORD CREEK,1956,12,0.549968081128436
NA,"NAKA CREEK",1956,12,0.549968081128436
3500,WORAN CREEK,1956,8,46.00%
400,AHNUHATI RIVER,1956,12,0.549968081128436
3500,KINGCOME RIVER,1956,12,0.549968081128436
NA,SIMOOM SOUND CREEK,1956,12,0.549968081128436
NA,AMBACK CREEK,1956,9,42.00%
NA,TUNO CREEK WEST,1956,7,68.00%
100,DEEP BAY CREEK,1956,8,46.00%
NA,HEALTH LAGOON CREEK,1956,12,0.549968081128436
75,GORILLA CREEK,1956,7,68.00%
NA,CALL CREEK,1956,12,0.549968081128436
1500,TOM BAY CREEK,1956,7,68.00%
NA,SHEEMAHANT RIVER,1956,9,42.00%
NA,GRANTHAM CREEK,1956,8,46.00%
15000,EMBLEY CREEK,1956,12,0.549968081128436
NA,DE COSMOS LAGOON CREEK,1956,8,46.00%
NA,NOOKLIKONNIK CREEK,1956,8,46.00%
NA,NUSASH CREEK,1956,8,46.00%
NA,FRANKLIN RIVER,1956,12,0.549968081128436
NA,MARION CREEK,1956,12,0.549968081128436
NA,CALDER CREEK,1956,7,68.00%
400,MARY COVE CREEK,1956,7,68.00%
NA,SHELTER BAY CREEK,1956,12,0.549968081128436
0,SCOTT COVE CREEK,1956,12,0.549968081128436
NA,CLAYTON FALLS CREEK,1956,8,46.00%
NA,WASHWASH RIVER,1956,9,42.00%
15000,TSITIKA RIVER,1956,12,0.549968081128436
75,ROBBERS KNOB CREEK,1956,12,0.549968081128436
3500,EVANS INLET #3 CREEK,1956,8,46.00%
NA,CACOOHTIN CREEK,1956,8,46.00%
1000,NEWICHY CREEK,1956,9,42.00%
NA,HAND CREEK,1956,12,0.549968081128436
750,BOUGHEY CREEK,1956,12,0.549968081128436
7500,BULLOCK CHANNEL CREEKS,1956,7,68.00%
15000,KWAKUSDIS RIVER,1956,7,68.00%
NA,THIEMER CREEK,1956,12,0.549968081128436
0,NIMMO CREEK,1956,12,0.549968081128436
NA,FISH CREEK,1956,8,46.00%
NA,ALLARDYCE CREEK,1956,12,0.549968081128436
NA,FANNIE COVE RIGHT HAND CREEK,1956,7,68.00%
400,BULLEY BAY CREEK,1956,7,68.00%
NA,MCINTOSH CREEK,1956,12,0.549968081128436
NA,DOCEE RIVER,1956,10,32.00%
NA,GEORGE HALL CREEK,1956,8,46.00%
NA,COHOE CREEK,1956,12,0.549968081128436
7500,FRENCHMAN CREEK,1956,8,46.00%
NA,JENNY BAY SOUTH CREEK,1956,8,46.00%
NA,THORSEN CREEK,1956,8,46.00%
NA,NUSATSUM RIVER,1956,8,46.00%
NA,RICHMOND BAY CREEK,1956,12,0.549968081128436
NA,ELLEN COVE CREEK,1956,12,0.549968081128436
NA,SALLOOMT RIVER,1956,8,46.00%
NA,JENNY BAY EAST CREEK,1956,8,46.00%
NA,CRACROFT CREEK,1956,12,0.549968081128436
NA,SKEENE RIVER,1956,12,0.549968081128436
NA,SOCKEYE CREEK,1956,7,68.00%
NA,NOOHALK CREEK,1956,8,46.00%
NA,COLLINSON CREEK,1956,12,0.549968081128436
NA,FANCY COVE HEAD CREEK,1956,7,68.00%
NA,BLIND CREEK,1956,12,0.549968081128436
NA,NOOSGULCH RIVER,1956,8,46.00%
400,QUATLENA RIVER,1957,8,29.00%
NA,LAGOON CREEK,1957,7,31.00%
NA,PHYLLIS LAKE CREEK,1957,12,NaN
200,WATSON BAY CREEK,1957,7,31.00%
NA,MATSIU CREEK,1957,12,NaN
35000,KEOGH RIVER,1957,12,NA
NA,ATNARKO SPAWNING CHANNEL,1957,8,29.00%
7500,NECLEETSCONNAY RIVER,1957,8,29.00%
NA,MCALISTER CREEK,1957,12,NA
400,CANYON CREEK,1957,7,31.00%
7500,CHAMISS CREEK,1957,7,31.00%
NA,ROBINSON CREEKS,1957,7,31.00%
NA,ELLERSLIE LAGOON CREEK,1957,7,31.00%
1500,ROSCOE CREEK,1957,7,31.00%
NA,HAUSER CREEK,1957,7,31.00%
400,WINDY BAY CREEK,1957,7,31.00%
NA,KENNETH RIVER,1957,12,NaN
NA,GRASSY BAY CREEK,1957,8,29.00%
750,CASCADE RIVER,1957,8,29.00%
NA,COLD CREEK,1957,8,29.00%
3500,COOPER INLET CREEKS,1957,7,31.00%
NA,STEELHEAD CREEK,1957,8,29.00%
NA,YOUNG RIVER,1957,9,81.00%
NA,WAHKASH CREEK,1957,12,NaN
NA,SANDELL RIVER,1957,9,81.00%
1500,SALMON BAY CREEK,1957,7,31.00%
7500,QUARTCHA CREEK,1957,7,31.00%
NA,WATT CREEK,1957,7,31.00%
75,POISON COVE CREEK,1957,7,31.00%
0,GOAT BUSHU CREEK,1957,7,31.00%
200,"NAMU RIVER",1957,8,29.00%
NA,WINDFALL CREEK,1957,7,31.00%
NA,HOCHSTADER BASIN CREEKS (2),1957,7,31.00%
NA,NEW VANCOUVER CREEK,1957,12,NaN
NA,FOUR LAKES CREEK,1957,8,29.00%
400,SAGAR CREEK,1957,8,29.00%
750,KOKISH RIVER,1957,12,NA
NA,TSULTON RIVER,1957,12,NaN
NA,LOCKHART GORDON CREEK,1957,9,81.00%
750,VINER SOUND CREEK,1957,12,NA
NA,RETURN CHANNEL CREEKS,1957,7,31.00%
1000,WEBSTER LAKE CREEK,1957,7,31.00%
NA,DORIS CREEK,1957,9,81.00%
35000,DEAN RIVER,1957,8,29.00%
NA,PENO CREEK,1957,7,31.00%
NA,DRANEY CREEK,1957,9,81.00%
NA,GENESEE CREEK,1957,9,81.00%
40000,AHTA RIVER,1957,12,NA
NA,HOGAN CREEK,1957,9,81.00%
NA,ATNARKO RIVER,1957,8,29.00%
75000,KWATNA RIVER,1957,8,29.00%
15000,CARTER RIVER,1957,7,31.00%
7500,AHTA VALLEY CREEK,1957,12,NA
175000,NEEKAS CREEK,1957,7,31.00%
400,KWALATE CREEK,1957,12,NA
750,HOEYA SOUND CREEK,1957,12,NA
NA,HYCUND CREEK,1957,12,NaN
750,NOEICK RIVER,1957,8,29.00%
3500,TSULQUATE RIVER,1957,12,NA
1500,SHUSHARTIE RIVER,1957,12,NA
NA,BIG BAY CREEK,1957,7,31.00%
0,LARD CREEK,1957,7,31.00%
NA,BEAVER CREEK,1957,9,81.00%
25,WALKER LAKE CREEK,1957,7,31.00%
NA,CHOKE PASS CREEKS (3),1957,7,31.00%
NA,PERRY CREEK,1957,9,81.00%
NA,CLYAK RIVER,1957,9,81.00%
NA,NIGGER CREEK,1957,12,NaN
NA,CREASY BAY RIVER,1957,12,NaN
NA,SALLIE CREEK,1957,12,NA
75000,GLENDALE CREEK,1957,12,NA
NA,HAUSKIN CREEK,1957,12,NA
NA,TUNA RIVER,1957,12,NA
1500,FULMORE RIVER,1957,12,NA
25,KITASU CREEK,1957,7,31.00%
NA,QUATSESE RIVER,1957,12,NaN
120000,ADAM RIVER,1957,12,NA
1500,NIMPKISH RIVER,1957,12,NA
3500,KIMSQUIT RIVER,1957,8,29.00%
NA,ICY RIVER,1957,12,NaN
NA,GREEN RIVER,1957,8,29.00%
0,KAMANO BAY CREEK,1957,12,NA
NA,TANCRED CREEK,1957,12,NaN
NA,WALDEN CREEK II,1957,12,NaN
0,RAINBOW CREEK,1957,7,31.00%
75000,KOEYE RIVER,1957,8,29.00%
NA,NIEL CREEK,1957,9,81.00%
0,GEISH CREEK,1957,7,31.00%
NA,KILPALA RIVER,1957,12,NaN
1500,KADJUSDIS RIVER,1957,7,31.00%
NA,BUGHOUSE CREEK,1957,12,NA
200,HIRD POINT CREEK,1957,7,31.00%
NA,BOTTLENECK CREEK,1957,7,31.00%
NA,RESCUE BAY CREEKS,1957,7,31.00%
NA,OATSOALIS CREEK,1957,9,81.00%
1500,PINE RIVER,1957,7,31.00%
NA,DALLERY CREEK,1957,9,81.00%
200,KORICH CREEK,1957,7,31.00%
NA,NEKITE SPAWNING CHANNEL,1957,10,51.00%
NA,SNOOTLI CREEK,1957,8,29.00%
7500,NEKITE RIVER,1957,10,51.00%
NA,CARRIDEN CREEK,1957,12,NA
0,LILIAN CREEK,1957,7,31.00%
35000,WAKEMAN RIVER,1957,12,NA
400,QUATSE RIVER,1957,12,NA
400,MILLS CREEK,1957,12,NA
NA,EVE RIVER,1957,12,NA
0,MACKENZIE RIVER,1957,12,NA
NA,MCLOUGHLIN CREEK,1957,7,31.00%
NA,CRAB HARBOUR CREEK,1957,8,29.00%
NA,MACHMELL RIVER,1957,9,81.00%
NA,CANOE CREEK,1957,10,51.00%
0,SOUND POINT LAGOON CREEK,1957,7,31.00%
0,MACNAIR CREEK,1957,9,81.00%
1000,JAMES BAY CREEK,1957,7,31.00%
NA,GARBAGE DUMP CREEK,1957,8,29.00%
7500,"NAHWITTI RIVER",1957,12,NA
NA,"NAYSASH CREEK",1957,10,51.00%
NA,NIEUMIAMUS CREEK,1957,8,29.00%
3500,STRANDBY RIVER,1957,12,NaN
400,ASSEEK RIVER,1957,8,29.00%
1500,ELCHO CREEK,1957,8,29.00%
30000,CLUXEWE RIVER,1957,12,NA
750,DUTHIE CREEK,1957,7,31.00%
NA,SKIMLETS CREEK,1957,8,29.00%
NA,TASTSQUAN CREEK,1957,8,29.00%
NA,HAGENSBORG SLOUGH,1957,8,29.00%
NA,TZEO RIVER,1957,9,81.00%
3500,CHUCKWALLA RIVER,1957,9,81.00%
NA,SMOKEHOUSE CREEK,1957,10,51.00%
NA,NEECHANZ RIVER,1957,9,81.00%
400,SIM RIVER,1957,12,NA
NA,BOND RIVER NO. 1,1957,12,NaN
NA,BULLOCK CHANNEL #2 CREEK,1957,7,31.00%
NA,MAPLE CREEK,1957,12,NA
NA,HYDE CREEK,1957,12,NA
NA,THIRD CREEK,1957,8,29.00%
NA,KWAKIUTL CREEK,1957,7,31.00%
NA,WALKER ISLAND CREEK,1957,8,29.00%
0,WALKUM CREEK,1957,10,51.00%
NA,AIRPORT SIDE CHANNEL,1957,8,29.00%
NA,MARGARET CREEK,1957,10,51.00%
NA,CHIC CHIC CREEK,1957,10,51.00%
0,KILBELLA RIVER,1957,9,81.00%
NA,BULLOCK CHANNEL #3 NORTH CREEK,1957,7,31.00%
30000,KAKWEIKEN RIVER,1957,12,NA
NA,FANNIE COVE LEFT HAND CREEK,1957,7,31.00%
0,SALLY CREEK,1957,7,31.00%
NA,SHOAL HARBOUR CREEK,1957,12,NA
10000,"NAMELESS CREEK",1957,7,31.00%
75000,KAINET CREEK,1957,7,31.00%
3500,JOHNSTON CREEK,1957,9,81.00%
NA,OWIKENO LAKE,1957,9,81.00%
0,HAGEN CREEK,1957,10,51.00%
75,LEE CREEK,1957,7,31.00%
350000,BELLA COOLA RIVER,1957,8,29.00%
750,SONGHEES CREEK,1957,12,NA
NA,POTTS LAGOON CREEK,1957,12,NA
3500,LULL CREEK,1957,12,NA
NA,DREW CREEK,1957,7,31.00%
NA,DSULISH CREEK,1957,10,51.00%
NA,KILDIDT LAGOON #2 CREEK,1957,7,31.00%
40000,CLATSE CREEK,1957,7,31.00%
NA,CHARLES CREEK,1957,12,NA
300,TANKEEAH RIVER,1957,7,31.00%
NA,BOSS CREEK,1957,10,51.00%
0,ROBERT ARM CREEK,1957,9,81.00%
NA,SPILLER LAGOON CREEK,1957,7,31.00%
NA,WAHKANA BAY CREEK,1957,12,NaN
1500,JENNY BAY CREEKS,1957,8,29.00%
NA,DEER PASS LAGOON CREEKS,1957,7,31.00%
NA,CUTTER COVE CREEK,1957,12,NaN
NA,WAHGILAH CREEK,1957,7,31.00%
3500,BEALE'S LAGOON CREEK,1957,7,31.00%
1500,KLINAKLINI RIVER,1957,12,NA
NA,KILDIDT CREEK,1957,7,31.00%
NA,ALLARD CREEK,1957,9,81.00%
3500,NOOSESECK RIVER,1957,8,29.00%
NA,REAK CREEK,1957,7,31.00%
NA,JENNIS BAY CREEK,1957,12,NA
400,TALEOMEY RIVER,1957,8,29.00%
NA,PORT HARVEY LAGOON CREEKS,1957,12,NA
3000,KUNSOOT RIVER,1957,7,31.00%
200,KISAMEET RIVER,1957,8,29.00%
200,MARTIN RIVER,1957,8,29.00%
1500,SKOWQUILTZ RIVER,1957,8,29.00%
NA,BIG CREEK,1957,7,31.00%
0,MILTON RIVER,1957,9,81.00%
NA,SUTHERLAND RIVER,1957,12,NaN
75,CAMP CREEK,1957,8,29.00%
NA,THORWALD CREEK,1957,8,29.00%
NA,CORTINA CREEK,1957,12,NaN
NA,TAKUSH RIVER,1957,10,51.00%
NA,KLEMTU CREEK,1957,7,31.00%
35000,MUSSEL RIVER,1957,7,31.00%
NA,STEWART CREEK,1957,7,31.00%
NA,INZIANA RIVER,1957,9,81.00%
400,WANNOCK RIVER,1957,9,81.00%
0,BOSWELL CREEK,1957,10,51.00%
NA,SPILLER INLET CREEK,1957,7,31.00%
NA,BULLOCK CHANNEL #3 SOUTH CREEK,1957,7,31.00%
NA,JENNY BAY WEST CREEK,1957,8,29.00%
NA,ADA COVE CREEK,1957,7,31.00%
200,NICKNAQUEET RIVER,1957,9,81.00%
750,BOLIN BAY CREEK,1957,7,31.00%
75,PROTECTION POINT CREEK,1957,12,NA
NA,CORDUROY CREEK,1957,10,51.00%
NA,TUNO CREEK,1957,7,31.00%
NA,BRADLEY CREEK,1957,12,NaN
NA,SHIP POINT CREEK,1957,7,31.00%
2333,HOOK NOSE CREEK,1957,8,29.00%
400,NOOTUM RIVER,1957,8,29.00%
NA,WALDON CREEK,1957,12,NA
NA,ASHLULM CREEK,1957,9,81.00%
NA,SHOAL CREEK,1957,12,NaN
0,EMILY CREEK,1957,7,31.00%
NA,"NASCALL CREEK",1957,8,29.00%
750,GILFORD CREEK,1957,12,NA
NA,"NAKA CREEK",1957,12,NA
7500,WORAN CREEK,1957,8,29.00%
750,AHNUHATI RIVER,1957,12,NA
7500,KINGCOME RIVER,1957,12,NA
NA,SIMOOM SOUND CREEK,1957,12,NA
NA,AMBACK CREEK,1957,9,81.00%
NA,TUNO CREEK WEST,1957,7,31.00%
75,DEEP BAY CREEK,1957,8,29.00%
NA,HEALTH LAGOON CREEK,1957,12,NA
0,GORILLA CREEK,1957,7,31.00%
NA,CALL CREEK,1957,12,NA
NA,TOM BAY CREEK,1957,7,31.00%
NA,SHEEMAHANT RIVER,1957,9,81.00%
NA,GRANTHAM CREEK,1957,8,29.00%
400,EMBLEY CREEK,1957,12,NA
NA,DE COSMOS LAGOON CREEK,1957,8,29.00%
NA,NOOKLIKONNIK CREEK,1957,8,29.00%
NA,NUSASH CREEK,1957,8,29.00%
NA,FRANKLIN RIVER,1957,12,NaN
NA,MARION CREEK,1957,12,NaN
NA,CALDER CREEK,1957,7,31.00%
0,MARY COVE CREEK,1957,7,31.00%
NA,SHELTER BAY CREEK,1957,12,NaN
0,SCOTT COVE CREEK,1957,12,NA
NA,CLAYTON FALLS CREEK,1957,8,29.00%
NA,WASHWASH RIVER,1957,9,81.00%
30000,TSITIKA RIVER,1957,12,NA
0,ROBBERS KNOB CREEK,1957,12,NA
3500,EVANS INLET #3 CREEK,1957,8,29.00%
NA,CACOOHTIN CREEK,1957,8,29.00%
0,NEWICHY CREEK,1957,9,81.00%
NA,HAND CREEK,1957,12,NaN
750,BOUGHEY CREEK,1957,12,NA
1500,BULLOCK CHANNEL CREEKS,1957,7,31.00%
10000,KWAKUSDIS RIVER,1957,7,31.00%
NA,THIEMER CREEK,1957,12,NA
0,NIMMO CREEK,1957,12,NA
NA,FISH CREEK,1957,8,29.00%
NA,ALLARDYCE CREEK,1957,12,NaN
NA,FANNIE COVE RIGHT HAND CREEK,1957,7,31.00%
400,BULLEY BAY CREEK,1957,7,31.00%
NA,MCINTOSH CREEK,1957,12,NaN
NA,DOCEE RIVER,1957,10,51.00%
NA,GEORGE HALL CREEK,1957,8,29.00%
NA,COHOE CREEK,1957,12,NA
200,FRENCHMAN CREEK,1957,8,29.00%
NA,JENNY BAY SOUTH CREEK,1957,8,29.00%
NA,THORSEN CREEK,1957,8,29.00%
NA,NUSATSUM RIVER,1957,8,29.00%
NA,RICHMOND BAY CREEK,1957,12,NaN
NA,ELLEN COVE CREEK,1957,12,NaN
NA,SALLOOMT RIVER,1957,8,29.00%
NA,JENNY BAY EAST CREEK,1957,8,29.00%
NA,CRACROFT CREEK,1957,12,NaN
NA,SKEENE RIVER,1957,12,NaN
NA,SOCKEYE CREEK,1957,7,31.00%
NA,NOOHALK CREEK,1957,8,29.00%
NA,COLLINSON CREEK,1957,12,NaN
NA,FANCY COVE HEAD CREEK,1957,7,31.00%
NA,BLIND CREEK,1957,12,NA
NA,NOOSGULCH RIVER,1957,8,29.00%
200,QUATLENA RIVER,1958,8,64.00%
25,LAGOON CREEK,1958,7,54.00%
NA,PHYLLIS LAKE CREEK,1958,12,0.619558161810302
75,WATSON BAY CREEK,1958,7,54.00%
400,MATSIU CREEK,1958,12,0.619558161810302
75000,KEOGH RIVER,1958,12,0.619558161810302
NA,ATNARKO SPAWNING CHANNEL,1958,8,64.00%
3500,NECLEETSCONNAY RIVER,1958,8,64.00%
